step 152 | misses   39 | transfer   0.71 ms | step time   0.13 ms
step 153 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 154 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 155 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 156 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 157 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 158 | misses   39 | transfer   0.71 ms | step time   0.13 ms
step 159 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 160 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 161 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 162 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 163 | misses   39 | transfer   0.72 ms | step time   0.13 ms
step 164 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 165 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 166 | misses   40 | transfer   0.77 ms | step time   0.14 ms
step 167 | misses   40 | transfer   0.74 ms | step time   0.14 ms
step 168 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 169 | misses   39 | transfer   0.72 ms | step time   0.13 ms
step 170 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 171 | misses   39 | transfer   0.71 ms | step time   0.14 ms
step 172 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 173 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 174 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 175 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 176 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 177 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 178 | misses   40 | transfer   0.74 ms | step time   0.14 ms
step 179 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 180 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 181 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 182 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 183 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 184 | misses   39 | transfer   0.71 ms | step time   0.13 ms
step 185 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 186 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 187 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 188 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 189 | misses   40 | transfer   0.75 ms | step time   0.14 ms
step 190 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 191 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 192 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 193 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 194 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 195 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 196 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 197 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 198 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 199 | misses   40 | transfer   0.74 ms | step time   0.13 ms

SUMMARY
Total misses: 7976
Total transfer time: 146.19 ms
